Date,PEP,KO,Spread,Z_Score,Signal
2019-09-17,110.07610321044922,44.19546127319336,-4.651416946774148,0.9766537751478458,0
2019-09-18,109.91387939453125,44.187313079833984,-4.799150335918782,0.8457061892523616,0
2019-09-19,109.89763641357422,44.423614501953125,-5.235622477210413,0.5710205836086015,0
2019-09-20,109.27307891845703,43.92656707763672,-4.976250371338367,0.658946547270264,0
2019-09-23,109.86519622802734,44.113983154296875,-4.717426445370265,0.7536393455646281,0
2019-09-24,109.80030822753906,44.244354248046875,-5.014161274232023,0.5301278246443996,0
2019-09-25,109.5812759399414,44.13842010498047,-5.044804445960892,0.46051406470268835,0
2019-09-26,110.09233093261719,44.31768798828125,-4.8525524101139865,0.5354368222828747,0
2019-09-27,109.9949722290039,44.252498626708984,-4.833980915632864,0.49747325302481354,0
2019-09-30,111.21172332763672,44.358428955078125,-3.805612148961174,1.1951418042804982,0
2019-10-01,111.4307632446289,44.529537200927734,-3.8908644103015035,1.084959360547341,0
2019-10-02,108.64842987060547,43.25029373168945,-4.398241484356149,0.6241573108903768,0
2019-10-03,111.885009765625,43.869544982910156,-2.262913672387654,2.214683451572139,-1
2019-10-04,113.79131317138672,44.439910888671875,-1.3709265729445974,2.6406356462009937,-1
2019-10-07,112.21761322021484,43.893978118896484,-1.9737611463948497,2.1823184983486446,-1
2019-10-08,111.32530975341797,43.657691955566406,-2.4458625884877847,1.689739044364258,0
2019-10-09,111.82012939453125,43.861385345458984,-2.313283264985074,1.6846163120153077,0
2019-10-10,111.85259246826172,43.722862243652344,-2.0344761522001136,1.8132042528599164,0
2019-10-11,111.64976501464844,43.42954635620117,-1.7156821615113813,1.9110437100408961,0
2019-10-14,111.49565124511719,43.42954635620117,-1.8697959310426313,1.635019333896583,0
2019-10-15,110.5871353149414,43.60066223144531,-3.0826176073662737,0.5976840358518641,0
2019-10-16,110.6601333618164,43.5843505859375,-2.980611571313929,0.6433927145988755,0
2019-10-17,111.09820556640625,43.82880401611328,-2.9772657377396996,0.5971253796965426,0
2019-10-18,110.52223205566406,44.63546371459961,-4.987771147319805,-1.035652301050672,0
2019-10-21,110.41680908203125,44.187313079833984,-4.296220648418782,-0.4577275074721611,0
2019-10-22,110.85482025146484,43.877685546875,-3.30758004550583,0.32520119985353896,0
2019-10-23,111.49565124511719,44.52138900756836,-3.811485983039887,-0.10000397029676004,0
2019-10-24,111.85259246826172,44.496952056884766,-3.4110870473906516,0.21104888485200599,0
2019-10-25,110.83861541748047,43.79621124267578,-3.1788941795721115,0.37665650992032995,0
2019-10-28,110.78181457519531,43.6495361328125,-2.9748537721217616,0.4986073635555306,0
2019-10-29,110.38436126708984,43.519168853759766,-3.140467035761418,0.322896880117037,0
2019-10-30,111.04950714111328,43.951019287109375,-3.2433069968174806,0.19643732776001638,0
2019-10-31,111.26852416992188,44.35027313232422,-3.7343073120873385,-0.28047788506241916,0
2019-11-01,111.07386016845703,43.91842269897461,-3.160985478472682,0.18588651571531992,0
2019-11-04,109.63805389404297,43.29916763305664,-3.495532885928043,-0.16751077552642293,0
2019-11-05,108.70520782470703,42.71250915527344,-3.3850885793062986,-0.11953345838317149,0
2019-11-06,109.05403137207031,43.02214050292969,-3.5869012493300403,-0.3929401843426223,0
2019-11-07,108.14553833007812,42.60658645629883,-3.7563893097894265,-0.6432038597298936,0
2019-11-08,107.99139404296875,42.54140090942383,-3.794610182712063,-0.7651321765617767,0
2019-11-11,107.39112854003906,42.23991394042969,-3.8587231111203977,-0.8372409399946517,0
2019-11-12,107.05854034423828,42.13398742675781,-4.0029357588677215,-0.9984696471232491,0
2019-11-13,108.12117004394531,42.704345703125,-3.9546087976640223,-0.9806683751600801,0
2019-11-14,108.15361022949219,42.88362503051758,-4.240991920669003,-1.2351682232932177,0
2019-11-15,108.5429916381836,42.91621398925781,-3.9095654351633016,-0.8027658526974856,0
2019-11-18,108.74578094482422,43.20954132080078,-4.228417924547685,-1.1511536985517745,0
2019-11-19,109.15948486328125,43.25029373168945,-3.8871864916803673,-0.6461686954936269,0
2019-11-20,108.4862060546875,43.364356994628906,-4.763310923377915,-1.7008175887409278,0
2019-11-21,108.62410736083984,43.15250778198242,-4.248665305026336,-0.965966065543335,0
2019-11-22,108.7538833618164,43.20954132080078,-4.2203155075554974,-0.9153580730554504,0
2019-11-25,108.55921173095703,43.364356994628906,-4.690305247108384,-1.7068256678115585,0
2019-11-26,110.07610321044922,43.91842269897461,-4.158742436480495,-0.6956164894114663,0
2019-11-27,110.24644470214844,43.95915985107422,-4.06084629474033,-0.46644060101630075,0
2019-11-29,110.1815414428711,43.836029052734375,-3.9067785823931587,-0.12005922184359674,0
2019-12-02,110.22212219238281,44.123355865478516,-4.377168542148738,-1.1856780795512003,0
2019-12-03,109.88143920898438,44.16439437866211,-4.790832804211789,-1.934917420937079,0
2019-12-04,111.37399291992188,44.566627502441406,-4.013594669239453,-0.3068274951146981,0
2019-12-05,111.3698959350586,44.48453903198242,-3.8717087450504977,-0.007229307902180711,0
2019-12-06,112.20307922363281,44.67335891723633,-3.374315318099363,1.0234088223302371,0
2019-12-09,112.03971862792969,44.38603210449219,-3.0267052045351903,1.7057447036874993,0
2019-12-10,111.31270599365234,44.139766693115234,-3.315769111655854,1.1812160383973587,0
2019-12-11,111.99070739746094,44.28751754760742,-2.900522019544411,1.982491579358959,0
2019-12-12,112.05606842041016,44.4434928894043,-3.1125414132189917,1.5181861204805789,0
2019-12-13,112.67687225341797,44.67335891723633,-2.9005222883142068,1.7834433247204016,0
2019-12-16,111.9580307006836,44.67335891723633,-3.6193638410485818,0.4499157097026458,0
2019-12-17,111.23102569580078,44.67335891723633,-4.346368845931394,-0.9162693871117836,0
2019-12-18,111.06768798828125,44.25469207763672,-3.7651659032631386,0.24635210662876952,0
2019-12-19,111.4760971069336,44.59126663208008,-3.955307741838695,-0.10683022469819074,0
2019-12-20,112.66053009033203,45.124847412109375,-3.7197738431412404,0.360189634992613,0
2019-12-23,111.9416732788086,45.07558059692383,-4.351016487165737,-0.850275447367428,0
2019-12-24,111.81916809082031,44.91142272949219,-4.181589776587899,-0.493545459607403,0
2019-12-26,111.6557846069336,45.1659049987793,-4.797534524742616,-1.575034749551323,0
2019-12-27,112.3501205444336,45.4367790222168,-4.584910302748952,-1.1122123508234159,0
2019-12-30,111.75379943847656,45.37111282348633,-5.064453222153389,-1.8281121267735612,0
2019-12-31,111.63947296142578,45.4367790222168,-5.2955578857567644,-1.9905457473666552,0
2020-01-02,110.94515228271484,45.141273498535156,-5.464363157165735,-2.0298638988135953,1
2020-01-03,110.78995513916016,44.894996643066406,-5.181591221840733,-1.4878146397490588,0
2020-01-06,111.21466827392578,44.87857437133789,-4.727673364575466,-0.845308406800825,0
2020-01-07,109.46662139892578,44.5338020324707,-5.862590664774572,-2.1754354279868715,1
2020-01-08,110.0302505493164,44.61589050292969,-5.4449444234361835,-1.5139560683135735,0
2020-01-09,110.10377502441406,45.42857360839844,-6.816663637380145,-2.7083315610055654,1
2020-01-10,109.89140319824219,45.58455276489258,-7.306422664083485,-2.690376779613663,1
2020-01-13,111.52508544921875,46.07708740234375,-6.548644651327962,-1.8003428347744581,0
2020-01-14,111.7864761352539,45.97037887573242,-6.097487716167947,-1.3069600599183784,0
2020-01-15,113.70611572265625,46.545005798339844,-5.19974205994653,-0.517983838670968,0
2020-01-16,114.04100036621094,46.64350509643555,-5.040024696220726,-0.3749840555832537,0
2020-01-17,115.38882446289062,46.74201202392578,-3.867381447185238,0.610286310670753,0
2020-01-21,115.87892150878906,46.930824279785156,-3.713060695094555,0.7336482418092207,0
2020-01-22,117.12056732177734,47.292015075683594,-3.1137423954991448,1.2196883781716916,0
2020-01-23,117.34107971191406,47.47262191772461,-3.2144141137818565,1.1485722482899556,0
2020-01-24,116.74478912353516,47.3494758605957,-3.5917065949056024,0.8462491818764093,0
2020-01-27,116.10765075683594,47.185302734375,-3.936885927408028,0.6022823318509155,0
2020-01-28,116.35270690917969,46.79948043823242,-3.0056985698757615,1.4052440009625649,0
2020-01-29,115.77273559570312,46.79948043823242,-3.585669883352324,0.9451498083482127,0
2020-01-30,117.48814392089844,48.31814956665039,-4.571003038838398,0.0970985156883311,0
2020-01-31,116.00962829589844,47.94053649902344,-5.377986427945885,-0.5986504223508922,0
2020-02-03,116.40989685058594,48.088287353515625,-5.240472184955536,-0.4348642312809757,0
2020-02-04,116.98985290527344,48.301727294921875,-5.040089331963756,-0.22184905226939144,0
2020-02-05,117.87203979492188,48.309932708740234,-4.172494627703642,0.5941213367434025,0
2020-02-06,117.89653778076172,48.424861907958984,-4.3523822120076545,0.4273615171864839,0
2020-02-07,118.7461166381836,48.58903884887695,-3.7947691726902377,0.9238553959970106,0
2020-02-10,118.98296356201172,49.04874038696289,-4.375437393806848,0.37649478926889196,0
2020-02-11,119.3260498046875,48.91740417480469,-3.7987879941182428,0.8694949764986607,0
2020-02-12,119.3260498046875,48.76963424682617,-3.535999762882767,1.0417737832991991,0
2020-02-13,119.64462280273438,48.933815002441406,-3.5093993668480152,0.99917551672563,0
2020-02-14,120.06939697265625,49.21293258666992,-3.580996936897435,0.8772487261705978,0
2020-02-18,118.93399047851562,48.86815643310547,-4.103267072329501,0.39119913141701984,0
2020-02-19,118.87679290771484,49.06516647338867,-4.510819554511045,0.028690744216861717,0
2020-02-20,118.57457733154297,49.02412796020508,-4.740053852018292,-0.2093262396325797,0
2020-02-21,119.13817596435547,49.360687255859375,-4.774979040803032,-0.263599483878849,0
2020-02-24,116.51609802246094,48.145755767822266,-5.236470582060122,-0.7864098858567911,0
2020-02-25,115.25812530517578,47.46440887451172,-5.282762767316484,-1.0380793416990997,0
2020-02-26,115.97693634033203,47.28379821777344,-4.242760839833139,0.05634070347481941,0
2020-02-27,111.3943862915039,45.09200668334961,-4.927514980877746,-0.9488134124385631,0
2020-02-28,107.8492660522461,43.909915924072266,-6.370451480589736,-2.613411915434219,1
2020-03-02,112.38279724121094,45.90471267700195,-5.384388423658322,-1.3393639309347853,0
2020-03-03,110.74909210205078,46.01962661743164,-7.2224519973316745,-2.9115569638656615,1
2020-03-04,116.3118667602539,48.367401123046875,-5.834867231351211,-1.3669724094775355,0
2020-03-05,113.56925964355469,46.57783508300781,-5.394980448416717,-0.864611941913296,0
2020-03-06,112.87849426269531,45.362918853759766,-3.9251865642693105,0.694686620049049,0
2020-03-09,107.0396499633789,42.57185363769531,-4.800510197194967,-0.1939672028064858,0
2020-03-10,110.31266784667969,44.049461364746094,-4.1552118124649695,0.5137227910765195,0
2020-03-11,106.70248413085938,42.859169006347656,-5.648626387258801,-1.0522079004289473,0
2020-03-12,94.85212707519531,38.713623046875,-10.12670746567818,-3.9810053349939567,1
2020-03-13,104.81100463867188,40.1379508972168,-2.7007985624094317,1.5900836855891933,0
2020-03-16,93.00179290771484,37.47975540161133,-9.782779914870048,-2.9181841335803975,1
2020-03-17,105.0330581665039,39.069705963134766,-0.5790202353984597,2.352092298949843,-1
2020-03-18,99.44095611572266,37.140228271484375,-2.739815005101292,1.0994549750314049,0
2020-03-19,96.49686431884766,34.63937759399414,-1.236492262955565,1.7531360629828823,0
2020-03-20,85.46888732910156,31.71619415283203,-7.065994728226656,-1.134723452950884,0
2020-03-23,86.49684143066406,31.103403091430664,-4.948277091244506,-0.06499213323761398,0
2020-03-24,93.61858367919922,32.66850280761719,-0.6098466555404229,1.9005386349918998,0
2020-03-25,92.51658630371094,34.457191467285156,-4.892777631899364,-0.07656255641634141,0
2020-03-26,98.89818572998047,36.6765022277832,-2.4579132233117207,1.0293639976048254,0
2020-03-27,99.06266021728516,35.45091247558594,-0.11389809735240419,1.9261315766469023,0
2020-03-30,103.19094848632812,37.264442443847656,0.7892797641026874,2.0788293959020794,-1
2020-03-31,98.76659393310547,36.643375396728516,-2.530593566020187,0.7298742951209504,0
2020-04-01,97.13829803466797,34.87952423095703,-1.0221258863965943,1.243139033767418,0
2020-04-02,101.85871124267578,36.39493942260742,1.0033325141684344,1.8275981940355979,0
2020-04-03,102.45906066894531,36.295570373535156,1.7803959512145582,1.896243718297833,0
2020-04-06,107.86203002929688,38.64737319946289,3.001011612848785,2.049774362564074,-1
2020-04-07,107.30280303955078,38.514869689941406,2.6774236558611335,1.7681051154198764,0
2020-04-08,109.05443572998047,39.599693298339844,2.4998486843979464,1.5766803361825714,0
2020-04-09,109.89327239990234,40.57683563232422,1.600973838006496,1.2330221657214206,0
